29912-达人运营leader,position_detail.php?id=46019&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25923-研发效能提升产品策划（深圳）,position_detail.php?id=46006&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25923-java高级工程师（深圳）,position_detail.php?id=46008&keywords=&tid=0&lid=0,,2,深圳,2018-11-30
TEG09-运营规划经理(深圳),position_detail.php?id=46033&keywords=&tid=0&lid=0,,2,深圳,2018-11-30
PCG12-灯塔web前端高级开发工程师,position_detail.php?id=46035&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25666-运营商销售经理,position_detail.php?id=46023&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
22989-高级人工智能后台研发（上海/深圳）,position_detail.php?id=46025&keywords=&tid=0&lid=0,,2,上海,2018-11-30
WXG01-微信客户端开发-小程序跨平台SDK,position_detail.php?id=46026&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
22989-人工智能Web前端开发工程师（上海/深圳）,position_detail.php?id=46027&keywords=&tid=0&lid=0,,2,上海,2018-11-30
22989-人工智能产品经理（上海/深圳）,position_detail.php?id=46028&keywords=&tid=0&lid=0,,2,上海,2018-11-30
18428-银行业务架构师,position_detail.php?id=46030&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
15581-欢乐游戏运营策划（深圳）,position_detail.php?id=46020&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
29925-腾讯视频电视剧整合营销项目经理,position_detail.php?id=46022&keywords=&tid=0&lid=0,,1,北京,2018-11-30
22989-web前端开发(高级)工程师,position_detail.php?id=46047&keywords=&tid=0&lid=0,,2,深圳,2018-11-30
26381-政务业务高级前端工程师（北京）,position_detail.php?id=46034&keywords=&tid=0&lid=0,,1,北京,2018-11-30
23674-接入平台组组长,position_detail.php?id=46036&keywords=&tid=0&lid=0,,1,北京,2018-11-30
23674-前端开发组组长,position_detail.php?id=46037&keywords=&tid=0&lid=0,,1,北京,2018-11-30
25663-泛文娱行业解决方案专家（深圳总部）,position_detail.php?id=46038&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25663-泛文娱行业解决方案专家（北京）,position_detail.php?id=46039&keywords=&tid=0&lid=0,,1,北京,2018-11-30
25663-泛文娱行业解决方案专家（上海）,position_detail.php?id=46040&keywords=&tid=0&lid=0,,1,上海,2018-11-30
18428-高级质量管理工程师（深圳）,position_detail.php?id=46029&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
15618-手游关卡策划（上海）,position_detail.php?id=46031&keywords=&tid=0&lid=0,,1,上海,2018-11-30
27730-短视频创意策划（北京）,position_detail.php?id=46032&keywords=&tid=0&lid=0,,1,北京,2018-11-30
29912-短视频社区后台开发工程师,position_detail.php?id=46046&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
23516-游戏版本管理（深圳）,position_detail.php?id=46048&keywords=&tid=0&lid=0,,2,深圳,2018-11-30
23516-移动游戏运营策划（深圳）,position_detail.php?id=46049&keywords=&tid=0&lid=0,,2,深圳,2018-11-30
TEG02-服务器OS应用工程师,position_detail.php?id=46050&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
TEG02-服务器装备工程师,position_detail.php?id=46051&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25663-泛互联网行业解决方案专家（深圳总部）,position_detail.php?id=46041&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25663-泛互联网行业解决方案专家（北京）,position_detail.php?id=46042&keywords=&tid=0&lid=0,,1,北京,2018-11-30
